Month|Views of page Ajapsandali|Views of page Ajvar|Views of page Alinazik kebab|Views of page Baba ghanoush|Views of page Badrijani|Views of page Baghara baingan|Views of page Baingan bharta|Views of page Beguni|Views of page Caponata|Views of page Confit byaldi|Views of page Dahi baigana|Views of page Di san xian|Views of page Eggplant papucaki|Views of page Eggplant salads and appetizers|Views of page Escalivada|Views of page Fried eggplant|Views of page Israeli eggplant salad|Views of page Kashk e badamjan|Views of page Kyopolou|Views of page List of eggplant dishes|Views of page Malidzano|Views of page Mirza Ghassemi|Views of page Moussaka|Views of page Parmigiana|Views of page Pasta alla Norma|Views of page Pindjur|Views of page Pisto|Views of page Ratatouille|Views of page Rollatini|Views of page Stuffed eggplant|Views of page Tepsi Baytinijan|Views of page Tombet|Views of page Zaalouk|Total|Percentage
201106|237|4631|534|28818|0|224|99|308|5944|4127|164|0|0|1605|941|260|0|0|485|0|213|0|21918|9238|533|117|1441|38525|1172|1|190|124|93|121942|1
201105|229|4987|583|31699|0|242|89|306|5656|3997|185|0|0|1556|1077|305|0|0|463|0|213|0|23249|9350|528|108|1563|35859|1290|6|193|139|126|123998|1
201104|191|4460|585|27560|0|253|105|335|5552|5053|172|0|0|1285|979|270|0|0|447|0|197|0|21650|9738|263|102|1457|45783|1314|1|223|32|110|128117|1.1
201103|193|4843|519|29228|0|261|94|332|5679|4142|202|0|0|1276|824|301|0|0|501|0|272|0|23948|9834|176|110|1440|36899|1377|3|246|8|148|122856|1
201102|165|5460|500|26071|0|277|94|387|5290|3652|208|0|0|1269|681|271|0|0|392|0|261|0|25191|9278|110|124|1549|35589|1169|2|229|10|126|118355|1
201101|167|6069|460|39406|0|245|84|330|7088|5153|190|0|0|1380|903|256|0|0|441|0|282|0|23767|10723|81|93|1638|45540|1537|2|254|4|128|146221|1.2
201012|163|5750|524|36423|0|284|74|377|7429|3636|218|0|0|1236|725|298|0|0|369|0|209|0|21086|8673|75|76|1421|32953|1323|2|198|7|95|123624|1
201011|190|5614|471|28899|0|337|97|434|7439|4722|247|0|0|1359|888|303|0|0|417|0|233|0|22958|9881|83|84|1554|44256|1148|1|216|5|116|131952|1.1
201010|59|6562|512|32406|0|290|90|416|8081|4491|302|0|0|1421|913|278|0|0|431|0|335|0|23795|9925|92|78|1730|38678|1244|2|212|5|131|132479|1.1
201009|19|9039|495|37876|0|347|124|447|9114|4724|0|0|0|1684|904|367|0|0|516|0|417|0|23085|10502|75|111|1598|41511|1167|9|258|11|97|144497|1.2
201008|15|6112|717|40823|0|399|87|715|10132|5531|0|0|0|1875|976|341|0|0|536|0|497|0|23370|10808|96|81|1563|45189|1330|5|268|10|125|151601|1.3
201007|11|3582|378|24472|0|293|53|429|5747|4634|0|0|0|1162|649|225|0|0|329|0|356|1|14411|6718|51|42|1259|42105|755|1|192|12|58|107925|0.9
201006|15|3519|373|20193|0|308|72|384|4420|2439|0|0|0|873|544|216|0|0|279|0|8|1|13044|5599|42|69|749|22065|661|5|135|5|52|76070|0.6
201005|18|3761|546|28681|0|398|120|544|5355|3484|0|0|0|1304|761|276|0|0|321|0|12|2|19568|8300|52|90|1085|30612|960|5|216|8|80|106559|0.9
201004|15|3798|568|30837|0|443|95|540|5563|3806|0|0|0|1121|756|297|0|0|289|0|14|0|20571|8211|60|90|1103|34156|871|2|231|14|89|113540|1
201003|13|4180|582|32362|0|446|100|526|5278|4107|0|0|0|1131|833|301|0|0|258|0|11|0|19930|7237|30|93|1239|32072|1004|1|225|9|93|112061|0.9
201002|22|3622|277|25842|0|335|80|391|5071|3702|0|0|0|918|736|269|0|0|181|0|17|0|16046|6504|33|57|994|26458|870|0|136|7|70|92638|0.8
201001|11|3613|267|26478|0|367|73|381|5473|5297|0|0|0|1088|660|251|0|0|154|0|12|0|15909|6691|47|73|1088|37414|896|0|159|9|103|106514|0.9
