Month|Views of page Adele|Views of page Ariana Grande|Views of page Avicii|Views of page Bruno Mars|Views of page Carly Rae Jepsen|Views of page Christina Perri|Views of page Demi Lovato|Views of page Drake (rapper)|Views of page Ed Sheeran|Views of page Ellie Goulding|Views of page Eminem|Views of page Jennifer Lopez|Views of page Justin Bieber|Views of page Katy Perry|Views of page Ludacris|Views of page Meghan Trainor|Views of page Michael Jackson|Views of page Miley Cyrus|Views of page Nicki Minaj|Views of page Pitbull (rapper)|Views of page Psy|Views of page Rihanna|Views of page Romeo Santos|Views of page Selena Gomez|Views of page Shakira|Views of page Sia (musician)|Views of page Taylor Swift|Views of page Wiz Khalifa|Views of page Zayn Malik|Views of page Zendaya|Total|Percentage
201208|45744|493051|146258|179432|825394|86971|467791|2229|390288|307831|850713|471575|981211|542663|138206|1|680668|738389|1019427|23082|463714|646288|16881|699144|329776|0|754073|386949|42084|193093|11922926|1.4
201207|60394|413090|147491|216963|1118441|77435|523834|2670|297750|269921|879289|569444|1130431|905525|144923|0|743829|679893|978336|36666|93283|638572|19659|839931|364424|2|483847|448234|42309|174580|12301166|1.4
201206|68693|292844|186999|225487|1266770|87434|448623|3020|476807|192812|868847|522192|1406395|831511|148539|3|842066|880913|962095|34504|3586|728646|18294|780497|363089|1|463992|435867|37286|154000|12731812|1.4
201205|72266|257024|184368|266140|1070092|93045|493804|3090|317257|146663|1054558|737681|1263525|524869|150837|2|649100|526131|1237930|42429|3626|865034|21712|717913|317031|5|491452|433857|43193|154146|12138780|1.4
201204|78658|220260|200625|310863|871398|101292|409415|2854|304823|135965|762571|594018|958973|655657|141610|2|601249|473616|1274220|39006|4125|723195|20294|780056|268497|1|533258|419857|120671|182092|11189121|1.3
201203|120369|199174|237576|367281|508138|114916|444430|2635|305948|120418|816162|563571|1187350|666502|173187|1|625421|522423|959719|42412|5718|761298|32599|800089|286631|0|631259|490904|129530|157466|11273127|1.3
201202|381825|192727|251230|1066756|227682|165038|305966|2810|474427|131071|876605|508852|907058|716308|137651|1|937996|467106|1457535|48270|3347|1110062|41182|807298|321676|1|786634|500549|272901|121967|13222531|1.5
201201|163247|199459|377673|522226|64480|158493|443919|3380|348576|113992|948915|565453|1092709|925385|163299|1|771297|550558|956975|69429|3826|938847|30712|1012875|336007|1|533132|485001|104153|171626|12055646|1.4
201112|156286|195180|304249|507909|14005|148871|339832|3305|263233|92890|840221|393744|1186758|720483|173067|1|693901|443011|810993|87313|2943|931062|27685|891031|271475|1|537937|445746|89935|140795|10713862|1.2
201111|154203|177880|243668|660682|8511|206525|463169|4986|379795|100909|975795|550170|1786567|671556|205214|2|831650|540701|860006|428350|3670|1335657|56853|1275671|318100|0|689841|441506|13709|165797|13551143|1.5
201110|149509|213948|180627|528174|4319|142433|415196|3701|311621|92873|1079296|461025|984753|547575|156666|4|781603|417770|844794|360297|3145|913173|31211|904106|309327|1|418814|378278|7425|124428|10766092|1.2
201109|129548|161705|125118|430585|1810|105408|523093|2703|213386|102181|880578|417088|769744|463367|149992|1|572280|395988|683760|352487|2744|611148|13804|715903|247071|0|386916|358224|3500|130181|8950313|1
201108|128813|294996|103332|565053|1446|160600|660734|3222|155512|129326|1111237|561171|1163180|817620|168461|6|650600|590808|1110608|523472|2724|659712|10968|1190972|299154|0|584479|466983|3041|242004|12360234|1.4
201107|131086|313653|81324|469765|1480|107300|713107|3932|177560|150704|1141576|924951|1251792|820358|162786|7|618459|599259|1090608|570670|2720|642222|14304|1419947|320160|0|515689|557430|2564|299894|13105307|1.5
201106|132493|267515|61091|619274|1434|89596|368764|4753|130850|88117|1173688|675042|1305756|811464|157517|47|882971|595521|868105|534320|3633|761096|11015|1423006|427414|1|500310|575641|896|199761|12671091|1.4
201105|161555|125503|50564|673574|1578|144093|338772|4270|68742|259676|1102652|945068|1513590|685358|239449|0|713003|573647|932183|452091|5972|720507|5643|1118615|421953|1|507372|614329|1340|86241|12467341|1.4
201104|146120|143337|44856|649333|1464|84093|385138|2849|29804|118194|1114660|760432|1376121|858614|181974|0|696817|602975|701317|264459|5960|749937|1|893950|420361|0|491918|807748|948|87529|11620909|1.3
201103|132947|87136|41947|708234|1597|100628|373451|3561|17460|123233|1404153|872174|2061403|793848|179821|0|821413|726051|729421|271114|6676|884178|2|1305082|397769|0|550452|940989|873|121975|13657588|1.6
201102|105998|105352|32510|1039438|1577|83162|298641|4677|16847|116941|1523123|618459|2696891|882277|167879|0|834655|738461|998697|190153|6161|1109593|0|903464|424440|0|594033|687781|791|110018|14292019|1.6
201101|57336|125592|39032|1131493|1836|78716|515100|5660|4470|148297|1183543|518503|1695149|943608|207061|0|910659|791844|1242347|211008|9980|1006610|1|1159986|436895|0|738254|818142|984|36900|14019006|1.6
201012|27273|115811|29794|1052190|1890|63223|569335|7988|14|206041|1284647|255673|1621148|1077496|199356|1|972759|903519|1484514|184129|11525|1117320|1|826253|400444|16|889952|625941|1926|4770|13934949|1.6
